# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 143K of event 'cycles:u'
# Event count (approx.): 129682211826
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.00%  spindec  libc.so.6                       [.] ferror
     0.00%  spindec  libnetcdf.so.19                 [.] NC_var_shape@plt
     0.00%  spindec  spindec                         [.] __netcdf_MOD_nf90_inq_varid@plt
     0.00%  spindec  libc.so.6                       [.] _IO_file_close
     0.00%  spindec  libnetcdf.so.19                 [.] fclose@plt
     0.00%  spindec  libnetcdf.so.19                 [.] elem_NC_dimarray
     0.00%  spindec  libnetcdf.so.19                 [.] close@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_filesize
     0.00%  spindec  libnetcdf.so.19                 [.] sysconf@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_encode_char
     0.00%  spindec  libnetcdf.so.19                 [.] memcmp@plt
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_var
     0.00%  spindec  libgomp.so.1.0.0                [.] 0x000000000000e678
     0.00%  spindec  libc.so.6                       [.] _IO_unsave_markers
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapadd
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_attr@plt
     0.00%  spindec  libc.so.6                       [.] strdup
     0.00%  spindec  libc.so.6                       [.] _IO_file_close_it
     0.00%  spindec  libc.so.6                       [.] 0x00000000000282c0
     0.00%  spindec  libopen-pal.so.40.30.2          [.] opal_datatype_copy_content_same_ddt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_len_NC
     0.00%  spindec  libc.so.6                       [.] _IO_default_xsputn
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nc_close@plt
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_findvar@plt
     0.00%  orted    libc.so.6                       [.] __default_morecore
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_voffs
     0.00%  spindec  libnetcdff.so.7.0.0             [.] malloc@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_close
     0.00%  orted    libc.so.6                       [.] getenv
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_id@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_voffs@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_pad_getn_text@plt
     0.00%  spindec  libc.so.6                       [.] _IO_setb
     0.00%  spindec  libnetcdf.so.19                 [.] find_in_NCList@plt
     0.00%  spindec  libhwloc.so.15.5.2              [.] cpuid_or_from_dump
     0.00%  spindec  libnetcdf.so.19                 [.] NC_sync
     0.00%  spindec  libmpi.so.40.30.3               [.] mca_coll_base_comm_unselect
     0.00%  spindec  ld-linux-x86-64.so.2            [.] _dl_deallocate_tls
     0.00%  spindec  libnetcdff.so.7.0.0             [.] _init
     0.00%  spindec  libopen-pal.so.40.30.2          [.] opal_setenv
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_filesize@plt
     0.00%  spindec  spindec                         [.] __grid_MOD_grid_init.constprop.0
     0.00%  spindec  libfftw3.so.3.6.10              [.] fftw_solver_use
     0.00%  spindec  libopen-pal.so.40.30.2          [.] var_set_from_file
     0.00%  orted    libopen-pal.so.40.30.2          [.] mca_base_var_group_add_var
     0.00%  spindec  libc.so.6                       [.] strtold
     0.00%  spindec  libhdf5.so.200.2.0              [.] H5I_clear_type
     0.00%  spindec  ld-linux-x86-64.so.2            [.] _dl_find_dso_for_object
